Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Austria,5.22839,2,10.4,14.6,0.021,4.4,11.97275,24.9,0.004579,85,17.55785,84,100,55.083,109.281
Belgium,4.75586,2.2,10.6,18.3,0.04,7.8,10.28089,26.7,0.004604,86,15.52996,98,100,63.932,208.937
Bulgaria,7.08603,2.7,24.2,9.7,0.03,16,11.91963,39.5,0.008849,73,14.35463,91,80,48.962,46.588
Croatia,4.81682,2.7,16.1,16.4,0.02,2.7,8.54359,37,0.008425,80,17.00051,92,80,36.098,76.838
Cyprus,68.40659,2,8.2,3.6,0.03,8.3,8.05289,35.6,0.005469,81,14.90432,96,40,35.517,46.279
Czechia,3.37402,1.3,14.3,12.2,0.02,4.2,13.28805,29.9,0.005222,84,21.15942,94,100,42.539,93.564
Denmark,4.65772,1.9,10.8,10.7,0.01,4,9.40172,16.2,0.002295,82,17.70265,97,60,43.81,106.37
Estonia,5.17964,0.8,14.9,14.9,0.1,11,11.26302,28.3,0.004436,79,15.65371,85,80,34.379,68.699
Finland,8.3389,1.3,9.6,15.3,0.049,3.9,9.15577,22.3,0.004192,86,13.84803,91,100,43.808,521.635
France,7.90908,2.5,10.6,13.8,0.09,7.2,11.30123,34.6,0.004481,85,15.60781,96,100,33.429,93.784
Germany,4.42844,2.2,12.1,12.3,0.02,5.1,12.21997,21.3,0.003341,88,17.29036,91,100,45.181,123.009
Greece,7.65435,2.3,12.5,5.1,0.08,2.2,7.11519,32.8,0.007136,77,11.61341,99,40,63.668,40.861
Hungary,15.04889,2.2,22.1,16.6,0.023,5,10.59925,32.2,0.007439,79,11.64802,99,100,32.983,55.057
Ireland,4.98396,2.1,9.7,9.6,0.175,4.5,11.7039,19.3,0.002783,83,21.20265,93,60,40.622,143.374
Italy,4.59094,1.6,9,6.7,0.04,4.6,7.96607,22.4,0.005004,84,13.73875,95,80,42.484,77.104
Latvia,18.32162,1.6,21.6,20.1,0.19,19,13.09042,33.9,0.009666,75,14.21749,95,60,33.769,44.207
Lithuania,8.66048,2,19.3,26.1,0.06,30,11.7853,31.4,0.006226,75,15.70116,90,100,51.274,94.666
Luxembourg,6.4855,1.7,9.7,11.3,0.06,8.3,11.5288,23,0.003939,83,12.23367,99,100,30,117
Malta,2.89278,3.7,10.5,6.1,0.09,13,8.52383,24.7,0.001938,85,15.27036,98,40,42.757,85.08
Netherlands,4.31174,2.6,10.3,11.8,0.01,4.1,9.30324,21.3,0.003433,85,17.28991,93,100,39.061,116.589
Norway,1.66374,1.3,8.7,11.8,0.045,3.3,6.80397,14.2,0.001521,87,17.48356,97,80,51.684,188.925
Poland,1.95947,2.7,17,11.3,0.03,12,11.62513,23.6,0.006673,82,13.05243,90,100,33.908,63.413
Portugal,11.79945,1.6,11,11.5,0.06,16,10.44538,25.6,0.007081,88,15.94098,99,40,57.665,77.891
Romania,10.0708,3.3,21,9.7,0.03,52,16.98964,30,0.009666,78,13.7502,85,100,34.713,80.729
Slovakia,4.82467,3,15.5,12.1,0.02,2.9,10.47519,32.4,0.006337,82,15.14745,97,60,36.8,60.427
Slovenia,4.53314,1.3,11.4,19.8,0.02,3.9,10.97589,20.1,0.005785,84,16.51409,89,100,33.259,105.921
Spain,3.44125,1.7,9.6,7.7,0.062,6.9,10.91336,28.4,0.003487,85,14.57135,93,80,44.799,65.366
Sweden,4.50784,1.4,8.4,14.7,0.043,3.9,9.29617,22.7,0.002091,85,14.87356,94,100,71.516,217.038
Switzerland,7.37875,2.9,7.9,14.5,0.04,4.6,10.39688,25.5,0.002376,86,7.27928,96,100,44.427,187.623
UK,9.84248,2.7,10.3,7.9,0.06,7.6,10.8168,14.2,0.002396,88,20.50405,92,100,31.742,91.508
USA,21.08491,3.2,13.6,16.1,0.113,2.6,9.56731,24.3,0.014169,86,22.0257,94,80,36.082,118.757
Type,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1
