Country,TOPSIS,SSP-TOPSIS std,SSP-TOPSIS $G_{1}$,SSP-TOPSIS $G_{2}$,SSP-TOPSIS $G_{3}$,SSP-TOPSIS $G_{4}$,SSP-TOPSIS $G_{5}$
Austria,0.4647258076102076,0.483554356277605,0.47122693804600985,0.4698632911906153,0.4690954530476606,0.4676054539820995,0.483554356277605
Belgium,0.5651074149530997,0.5867940959239056,0.5744027025805649,0.5714739012172211,0.5685770845722995,0.5674369450206861,0.5867940959239056
Bulgaria,0.47639816977111904,0.5007960887942142,0.4815844968496068,0.47853273817908965,0.4781306199903816,0.49182957988094905,0.5007960887942142
Croatia,0.46173365376880005,0.4938955341350975,0.46921283893754445,0.464442317236924,0.46754844269494633,0.47837720847722404,0.4938955341350975
Cyprus,0.3833831370439982,0.40224945174109095,0.3874579558461546,0.38667595153073314,0.38994899388312654,0.3886104074262786,0.40224945174109095
Czechia,0.5100084562681504,0.5349208005602791,0.5170184967606724,0.5148954330101981,0.513918998687741,0.5190729231807637,0.5349208005602791
Denmark,0.3804905878164498,0.4079805499380177,0.3867678276294239,0.38208431521346126,0.38853098666954405,0.3924359933200884,0.4079805499380177
Estonia,0.37468341841075525,0.4094980076443946,0.3833807637268753,0.3815831787127128,0.38111273434332354,0.38865043995579684,0.4094980076443946
Finland,0.48707657643886165,0.5087112361070298,0.49343179132746473,0.4912578122136214,0.49053005113993264,0.49445927726111133,0.5087112361070298
France,0.5297303897545574,0.5514423249026159,0.538637571825157,0.5335022762128568,0.5342646705694508,0.5341802369383596,0.5514423249026159
Germany,0.4953365720102656,0.517195928083257,0.5037933818160303,0.4990502245636601,0.49678739963447915,0.503315629803291,0.517195928083257
Greece,0.4113669175556694,0.42694069581506117,0.41955870862460604,0.4148684414006339,0.41404549061613,0.4126717091654071,0.42694069581506117
Hungary,0.5219324153580621,0.5371461026192806,0.5278282872960391,0.5261511066574853,0.5258612569351554,0.522978003978175,0.5371461026192806
Ireland,0.42803231841036926,0.45768191762769805,0.4343674412995504,0.4311915521026168,0.43431460851885156,0.4421010544650103,0.45768191762769805
Italy,0.4103110292694247,0.445637835387388,0.4151946947411539,0.4146758733734002,0.41721538340588493,0.430013822121332,0.445637835387388
Latvia,0.47889117443984597,0.49911839830853527,0.48349199693006567,0.48229913916961176,0.4816407587693174,0.4884307723714621,0.49911839830853527
Lithuania,0.5174715047664411,0.5409146242590461,0.5254443137659133,0.5224309245097909,0.5206687942707173,0.5245617012138585,0.5409146242590461
Luxembourg,0.47685357798972133,0.49506704505986093,0.4842261836838421,0.48117623776887003,0.48249874972998924,0.47758550373495895,0.49506704505986093
Malta,0.427346831911604,0.44511008060782864,0.4316420020992857,0.43082235319267215,0.4325359956182773,0.43223859526726754,0.44511008060782864
Netherlands,0.4713809099308323,0.49302950793984324,0.4769364251994349,0.47487822742377866,0.4758323569555625,0.47952524500409277,0.49302950793984324
Norway,0.4492031973484381,0.4698991474756902,0.45385415415295893,0.4492031973484381,0.4517708935429162,0.46284686756752447,0.4698991474756902
Poland,0.46640316480724486,0.4908473662432202,0.47429412092782935,0.47181196151076044,0.472770369838109,0.47113838086516757,0.4908473662432202
Portugal,0.46092706661387656,0.478958395683771,0.46914681637081207,0.4665419445304237,0.4628295817036072,0.46317732235040243,0.478958395683771
Romania,0.5036793550159883,0.5171603427630587,0.507946437719492,0.5067611192114069,0.5074741936713201,0.5059153013099755,0.5171603427630587
Slovakia,0.44408821378721397,0.47286616221186356,0.4514654468172542,0.44939643689928976,0.4515931519955196,0.4530239850751714,0.47286616221186356
Slovenia,0.44117494660822276,0.4603644957693385,0.4460796543906331,0.4453944719770239,0.44720844662463044,0.4451531160924341,0.4603644957693385
Spain,0.43662848196125015,0.4752290271917869,0.4438166631631414,0.4425024117437479,0.4424841068682213,0.4569070910260115,0.4752290271917869
Sweden,0.5087075866862438,0.5266227096832619,0.5138485312456319,0.5121031493483555,0.5129739543438164,0.513770643457604,0.5266227096832619
Switzerland,0.4959660202457911,0.5139962999870319,0.500941484255471,0.5005196490894639,0.49774422309406124,0.5027164283599073,0.5139962999870319
UK,0.4800291907977205,0.4937201300751268,0.48692213356897923,0.48148573235688635,0.4804786570092023,0.48485667069451255,0.4937201300751268
USA,0.5451296540523217,0.5759281115978262,0.5534174559445256,0.5495299296896505,0.5469039194753517,0.5613570709597896,0.5759281115978262
